competencia;id_cliente;valor_fatura;tipo_cliente;consumo_energia_kwh;status_fatura;data_vencimento
2021-08;2UjwCve3t34vS+LPNSJNtg==;126,45;PF;154;paga;11/09/2021
2021-08;6CDyEKgtCmg/UFE/f1iZkg==;126,45;PF;154;paga;01/09/2021
2021-06;is7+EcidED1cUGcVIPij0Q==;127,27;PF;155;paga;25/06/2021
2021-07;ho0zKpjJioZA1Ouom/ka9A==;127,27;PF;155;atrasada;13/08/2021
2021-07;a9+nbO5cuvwJYIYAHcPcrg==;127,27;PF;155;atrasada;11/08/2021
2021-07;ihXi1EOI/0MMg4R2/2klmQ==;127,27;PF;155;paga;06/08/2021
2021-07;u5oOe/e4XTuYcjkOg51KIA==;127,27;PF;155;atrasada;25/07/2021
2021-07;jrP2BWf2xzE7LzBDCtYqEw==;127,27;PF;155;paga;17/08/2021
2021-07;Ebf8QcE5qygcuJgPxn8M5A==;127,27;PF;155;paga;14/08/2021
2021-07;GD1U7C+QNaksZ1EFg0DERQ==;127,27;PF;155;paga;17/08/2021
2021-07;UxHch4SzxWmLQzQaTmq3hw==;127,27;PF;155;atrasada;13/08/2021
2021-07;v3ph1Ccjsm+K+qWk3C2MCw==;127,27;PF;155;paga;05/08/2021
2021-08;h+0bdnuEZcDxX6+hk/UaKA==;127,27;PF;155;atrasada;17/09/2021
2021-08;Nk5jTqjG3kFoxJQST/dNqA==;127,27;PF;155;atrasada;27/09/2021
2021-07;TjiSdm3o4P+/tChxGoBLRw==;128,09;PF;156;paga;11/08/2021
2021-08;oR+wK0mFx6W6KbIsFCr8rA==;128,09;PF;156;paga;06/09/2021
2021-08;j7ymgTQaS3fJTYG2oDbHWA==;128,91;PF;157;atrasada;14/09/2021
2021-08;bxwsOn7X/zS75WHcXoRPtw==;128,91;PF;157;atrasada;22/09/2021
2021-08;dekHmDJFC3dtdTAXaAfpcA==;129,73;PF;158;paga;18/09/2021
2021-08;IxS0HYS+RdQVstzQnQjjNg==;129,73;PF;158;paga;04/09/2021
2021-07;Y0LVpcOIlwFV4ZHD388N5g==;130,55;PF;159;paga;13/08/2021
2021-07;rulwPA84H1S8+I+GB36zdw==;130,55;PF;159;paga;11/08/2021
2021-08;FWTTaWpc7tvk2bapk097Ww==;130,55;PF;159;paga;27/08/2021
2021-08;DYW6hWjA8bvRAbn5QdUBkQ==;130,55;PF;159;paga;10/09/2021
2021-08;is7+EcidED1cUGcVIPij0Q==;131,38;PF;160;paga;25/08/2021
2021-08;euwm36nBoYJgGFAZINzX5g==;131,38;PF;160;paga;11/09/2021
2021-06;d6pLfG5+4f0YMOrv98AUPQ==;132,2;PF;161;paga;11/07/2021
2021-07;IKm2dnudOjyN46LpDQfqWQ==;132,2;PF;161;paga;11/09/2021
2021-08;uDVabvZaMaij7vTv5WQSMw==;132,2;PF;161;paga;27/08/2021
2021-08;LVd/yEyFNPZMVC36fvg2XQ==;132,2;PF;161;atrasada;06/09/2021
2021-08;soVkocXiYwOHgROIsfg8TA==;132,2;PF;161;paga;08/09/2021
2021-08;ZpZFH4nyD62VYk1tprvDaQ==;133,02;PF;162;paga;17/09/2021
2021-08;1kQq8sK8nDpYaj/n6+o0RA==;133,84;PF;163;paga;06/09/2021
2021-08;h2d18bWYEXrdMagVPvKteQ==;134,66;PF;164;atrasada;27/09/2021
2021-08;h01+h1LRsFYEUbjFiOhGog==;134,66;PF;164;paga;17/09/2021
2021-08;+F43nFNF8ZGv3BTn0tMPKQ==;134,66;PF;164;paga;11/09/2021
2021-08;QgJoQ7pWq8Jhqymr5gmYGw==;135,48;PF;165;paga;08/09/2021
2021-08;jYAy64d+zbOZTH2i+iQjQg==;135,48;PF;165;paga;02/09/2021
2021-08;tUZHSnIzKBNuRkdilYa5pg==;135,48;PF;165;paga;11/09/2021
2021-08;6qVedCTt9cmNiYkd/eF9CQ==;135,48;PF;165;paga;04/09/2021
2021-08;Mf3+bIqH4YqZj5YL/1xDAg==;135,48;PF;165;atrasada;17/09/2021
2021-08;Zu6G+LRpeIpwlymgiuSEyQ==;135,48;PF;165;paga;06/09/2021
2021-08;MoFqTuP2LaS7TtL1TNW1Vw==;135,48;PF;165;paga;27/08/2021
2021-08;2NMy6a7XybTTBYfQaS/glA==;135,48;PF;165;paga;27/08/2021
2021-08;CQmgg5y9/MJ417YMsRNitw==;135,48;PF;165;atrasada;22/09/2021
2021-08;XQCz0VSP2DlJh7KOpeD8/A==;135,48;PF;165;paga;18/09/2021
2021-08;vc5if/RYW2jecZCCxXYsHw==;137,12;PF;167;paga;02/09/2021
2021-08;cO90drFYwmPS9RrpoVs1eg==;137,12;PF;167;paga;22/08/2021
2021-06;lj5eb6IkwfvdDanmrolJBg==;137,94;PF;168;atrasada;04/07/2021
2021-07;ttIjSRljsOZg15+xtpOb2A==;137,94;PF;168;atrasada;30/08/2021
2021-07;ahDp3oos3j7mI55w65Mtyw==;137,94;PF;168;paga;08/08/2021
2021-08;YoAWAndesF68Ftz1poolOQ==;137,94;PF;168;paga;17/09/2021
2021-08;K75NAI7YPYujCLTL4eV3FQ==;137,94;PF;168;atrasada;11/09/2021
2021-08;tzUheJNp/7HnM0wnQn7VJg==;137,94;PF;168;paga;04/09/2021
2021-08;yQa1QMZ4FPSYEFpF4aJzLw==;137,94;PF;168;paga;11/09/2021
2021-08;GpjYTIrMKt8D2hrDoRJahg==;138,77;PF;169;paga;13/09/2021
2021-08;b/kVHB2NGLhVpLthNnLkHg==;138,77;PF;169;paga;11/09/2021
2021-08;TjiSdm3o4P+/tChxGoBLRw==;139,59;PF;170;paga;11/09/2021
2021-07;G7xbOYUkl0kU5gCYpIK8Rg==;140,41;PF;171;paga;08/08/2021
2021-08;H5MIGdR9c3WBzhoR/wvxTg==;140,41;PF;171;paga;17/09/2021
2021-07;aUVQxsPA71sRXUCVso8eqw==;141,23;PF;172;paga;04/08/2021
2021-07;fO2A7J0j8erKRiZnbY+TLA==;141,23;PJ;172;paga;14/08/2021
2021-07;DLRdET/NZHPCbJSgIGThRA==;141,23;PF;172;paga;11/08/2021
2021-07;s6Ti+6xVP6wMCOpTkcS5DA==;141,23;PF;172;paga;05/08/2021
2021-07;Smf+XPSZqvZ1D0bBNAZs7Q==;141,23;PF;172;atrasada;27/08/2021
2021-07;bZBOVVn4DbpD4RDNmFELHQ==;141,23;PF;172;paga;27/08/2021
2021-07;+GycBY0/EG9v56mS7lRVoQ==;141,23;PF;172;paga;04/08/2021
2021-08;SMr3FHhSaLNv4rSqshyd8w==;141,23;PF;172;paga;27/09/2021
2021-08;acoT2u5mHURKRxUAxI7mow==;141,23;PF;172;atrasada;27/09/2021
2021-08;Itjwih2+a9Dx1VoX5RuDqQ==;142,05;PF;173;paga;17/09/2021
2021-07;PW/Ab+m2L9GM5EXRu/8T3Q==;142,87;PF;174;paga;22/07/2021
2021-07;lj5eb6IkwfvdDanmrolJBg==;142,87;PF;174;atrasada;04/08/2021
2021-08;0TUOF9pEJpx3gdD8MUzM8A==;143,69;PF;175;atrasada;09/09/2021
2021-08;bDYmZoV8I+IIm+GYF9C7SA==;143,69;PF;175;paga;06/09/2021
2021-08;DK818xLJgk3oURtbqGVlvg==;143,69;PF;175;paga;27/08/2021
2021-07;cO90drFYwmPS9RrpoVs1eg==;144,51;PF;176;paga;22/07/2021
2021-08;JHj+kppxEspGPU35J3Deiw==;144,51;PF;176;paga;27/09/2021
2021-08;EgHwwptCNmi0UHN6MNC5Zg==;145,33;PF;177;paga;10/09/2021
2021-08;XYo5douM4CMw1nrEi4xPpA==;145,33;PF;177;paga;11/09/2021
2021-06;G7xbOYUkl0kU5gCYpIK8Rg==;146,16;PF;178;paga;08/07/2021
2021-06;cO90drFYwmPS9RrpoVs1eg==;146,98;PF;179;paga;22/06/2021
2021-06;w15EKe4KmrdYnNKScq9kVQ==;146,98;PF;179;paga;17/07/2021
2021-06;bZBOVVn4DbpD4RDNmFELHQ==;146,98;PF;179;paga;27/07/2021
2021-08;p/lU43ChQX54+7CdQQ3/Kw==;146,98;PF;179;paga;29/09/2021
2021-08;cnYZeRjUvWNFmdSU3Ko2+w==;146,98;PF;179;paga;27/08/2021
2021-08;JIEszyQvL0Kv/KIPuvLBHA==;146,98;PF;179;atrasada;13/09/2021
2021-06;/9YsZAdreFh0x4wCVfDHfQ==;147,8;PF;180;paga;11/07/2021
2021-07;Am2uZwnjhEB3D3X05Zdzig==;148,62;PF;181;atrasada;26/08/2021
2021-08;X306EdQCQGbqeFTqj7dSng==;148,62;PF;181;paga;09/09/2021
2021-08;pacOHQQaN6cW8sKBf0hqSA==;148,62;PJ;181;paga;23/08/2021
2021-06;rulwPA84H1S8+I+GB36zdw==;149,44;PF;182;paga;11/07/2021
2021-06;hSm0uJRnbkP88is8Zu8tdw==;149,44;PF;182;paga;27/06/2021
2021-08;tcdngc5tWIiggNH2i/0WkQ==;149,44;PF;182;paga;04/09/2021
2021-08;YIfpVr/X+963CtN4HceaIg==;149,44;PF;182;atrasada;09/09/2021
2021-08;G2OSrtn9uoa7N2Qt8/8+0g==;149,44;PF;182;paga;02/09/2021
2021-06;6qVedCTt9cmNiYkd/eF9CQ==;150,26;PF;183;paga;04/07/2021
2021-07;WTpHPPpw6n6K73Kn4TvYbA==;150,26;PF;183;paga;11/08/2021
2021-06;Pg3I1Vs6l0MAYB4Msm/UAg==;151,08;PF;184;atrasada;27/06/2021
2021-07;pZNiOKlJE8TX9ew03oJuEA==;151,08;PF;184;paga;17/08/2021
2021-08;wfiC/QpN6dv/l22TrAh89Q==;151,08;PF;184;paga;18/09/2021
2021-08;IZKi/dzuMn7sDBy8vhtobw==;151,08;PF;184;paga;22/09/2021
2021-08;BAXfecd51E2df+EvPcuebg==;151,9;PF;185;paga;13/09/2021
2021-07;dp5RqtyQetwwIkKuX8TAow==;152,72;PF;186;paga;27/07/2021
2021-07;ditaNBV13VRSDXcJOin/Eg==;152,72;PF;186;paga;17/08/2021
